statistic,observed,bootstrap_mean,ci_2_5,ci_97_5,n_bootstrap
top10_capture_rate_difference,0.16326530612244897,0.16241938775510203,0.02040816326530609,0.30612244897959184,20000
mean_delta_risk_percentile,0.07989665811679865,0.07962272759376976,0.01940615590498495,0.1419863109178097,20000
median_delta_risk_percentile,0.0710382513661203,0.0659883378870674,0.0014571948998177708,0.13861566484517307,20000
