definition,lookback_weeks,radius_km,primary,strict_events,baseline_top10_rate,external_top10_rate,top10_difference_pp,top10_bootstrap_ci_low_pp,top10_bootstrap_ci_high_pp,baseline_top20_rate,external_top20_rate,top20_difference_pp,mean_delta_percentile,median_delta_percentile,gain_to_top10,loss_from_top10,exact_binomial_p
4w_30km,4,30.0,False,49,0.22448979591836735,0.3877551020408163,16.3265306122449,2.040816326530609,30.612244897959183,0.42857142857142855,0.5918367346938775,16.3265306122449,0.07989665811679864,0.0710382513661203,12,4,0.076812744140625
8w_20km,8,20.0,False,50,0.24,0.4,16.000000000000004,1.9999999999999962,31.999999999999996,0.44,0.6,15.999999999999998,0.07922404371584699,0.059471766848816054,12,4,0.076812744140625
8w_30km,8,30.0,True,49,0.22448979591836735,0.3877551020408163,16.3265306122449,2.040816326530609,30.612244897959183,0.42857142857142855,0.5918367346938775,16.3265306122449,0.07989665811679864,0.0710382513661203,12,4,0.076812744140625
8w_50km,8,50.0,False,46,0.2391304347826087,0.391304347826087,15.217391304347828,0.0,30.434782608695656,0.45652173913043476,0.5869565217391305,13.043478260869573,0.08243446582719571,0.059471766848816054,11,4,0.11846923828124999
12w_30km,12,30.0,False,48,0.22916666666666666,0.3958333333333333,16.666666666666664,2.0833333333333313,33.33333333333333,0.4375,0.6041666666666666,16.666666666666664,0.0777170613236187,0.059471766848816054,12,4,0.076812744140625
