grid_id,week_start,outbreak_binary,grid_lat,grid_lon,outbreak_count,pred_proba,split_name,model_name,display_label,n_grids_in_week,risk_rank,risk_percentile,top1,top5,top10,top20
G005119,2025-01-06,1,39.77961194861075,141.30315392824423,1,0.08857877557711859,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,2558.0,0.5343289018393735,False,False,False,False
G002735,2025-01-13,1,34.85333357833916,136.90140903605854,2,0.5760266742977169,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,290.0,0.9473684210526316,False,False,True,True
G002736,2025-01-13,1,34.92701787656751,136.90140903605854,3,0.5228644582227318,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,448.0,0.9185940630122018,False,False,True,True
G002735,2025-01-20,1,34.85333357833916,136.90140903605854,1,0.5838600909736613,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,229.0,0.9584775086505191,False,True,True,True
G005119,2025-01-20,1,39.77961194861075,141.30315392824423,2,0.027788701043069453,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,2687.0,0.5108359133126935,False,False,False,False
G002736,2025-01-27,1,34.92701787656751,136.90140903605854,1,0.451377134905309,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,1350.0,0.754325259515571,False,False,False,False
G004430,2025-01-27,1,35.66021456351283,140.58450170094864,2,0.6556289331202207,test_fy2024,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,179.0,0.9675833181569842,False,True,True,True
G004107,2024-04-29,1,35.733168284838165,140.31500711571275,1,0.0,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,5454.0,0.00692041522491349,False,False,False,False
G005564,2024-10-14,1,42.74981001339923,141.93197462712786,1,0.009632113187051438,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,226.0,0.9590238572209069,False,True,True,True
G003074,2024-10-21,1,37.10654050755949,138.33871349064978,1,0.029939904631390735,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,675.0,0.8772536878528501,False,False,False,True
