model_name,display_label,n_splits,total_events,mean_event_percentile,median_event_percentile,mean_event_rank,median_event_rank,top1_events,top1_capture_rate,top5_events,top5_capture_rate,top10_events,top10_capture_rate,top20_events,top20_capture_rate
geo_season_previous_week_weather,Geography–season–previous-week weather,3,61,0.7132774644649518,0.7861955927881988,1575.3934426229507,1175.0,3,0.04918032786885246,10,0.16393442622950818,17,0.2786885245901639,28,0.45901639344262296
geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,3,61,0.7023534785685069,0.7894736842105263,1635.377049180328,1157.0,2,0.03278688524590164,11,0.18032786885245902,16,0.26229508196721313,28,0.45901639344262296
geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,3,61,0.7123758400482458,0.7787288289928975,1580.344262295082,1216.0,3,0.04918032786885246,8,0.13114754098360656,16,0.26229508196721313,28,0.45901639344262296
geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,3,61,0.6950419613615125,0.7326534328901839,1675.5245901639344,1469.0,4,0.06557377049180328,9,0.14754098360655737,13,0.21311475409836064,27,0.4426229508196721
